event_id,event_date,year,in_sequence,label_sub_event_type,label_escalated,fatalities,avg_tone,tone_positive_score,tone_negative_score,tone_polarity,tone_activity_density,tone_self_group_density,tone_word_count,goldstein_trend,quad_class_ratio,volume_mention_spike,volume_right_censored,had_gkg_match,had_events_match,matching_method_version
USA67,2020-06-14,2020,False,Peaceful protest,0,0,-3.3301290300159154,2.3599656178416395,5.6900946478575545,8.050060265699198,22.37029780985737,0.5835459338333169,1599.8,2.952,0.6111111111111112,25,True,True,True,v3_sequence_anchored_geo_distance
USA997,2020-06-19,2020,False,Peaceful protest,0,0,0.0,1.71945701357466,1.71945701357466,3.43891402714932,16.289592760181,0.361990950226244,773.0,,,1,False,True,True,v3_sequence_anchored_geo_distance
USA670,2020-06-20,2020,False,Peaceful protest,0,0,,,,,,,,,,0,False,False,False,v3_sequence_anchored_geo_distance
USA522,2020-06-20,2020,False,Peaceful protest,0,0,,,,,,,,,,0,False,False,False,v3_sequence_anchored_geo_distance
USA10390,2020-05-31,2020,False,Violent demonstration,1,0,-3.468299930085601,1.748829593072494,5.2171295231580945,6.9659591162305885,22.0432813430284,1.0085992030694162,1862.9583333333333,3.088,0.23076923076923078,24,False,True,True,v3_sequence_anchored_geo_distance
USA6465,2020-06-02,2020,True,Violent demonstration,1,0,,,,,,,,,,0,False,False,False,v3_sequence_anchored_geo_distance
USA524,2020-06-14,2020,False,Peaceful protest,0,0,,,,,,,,,,0,False,False,False,v3_sequence_anchored_geo_distance
USA6625,2020-06-02,2020,True,Violent demonstration,1,0,-2.46340678468334,1.9214013646291401,4.38480814931249,6.30620951394163,24.82623251286825,0.6646042202637815,981.0,1.192,0.6666666666666666,2,False,True,True,v3_sequence_anchored_geo_distance
USA4697,2020-05-29,2020,False,Violent demonstration,1,0,-4.577107580406417,1.8717106268742398,6.448818207280656,8.32052883415489,23.258293508210144,1.0838270689812692,720.08,2.412,0.6521739130434783,25,True,True,True,v3_sequence_anchored_geo_distance
USA4905,2020-05-30,2020,False,Violent demonstration,1,0,-4.926221673221703,1.0625611673264992,5.988782840548201,7.05134400787471,23.7160324661767,0.806173500257906,579.6666666666666,1.2478260869565216,0.8260869565217391,12,False,True,True,v3_sequence_anchored_geo_distance
USA5967,2020-06-01,2020,True,Violent demonstration,1,0,0.1014103619014648,3.98062737285811,3.879217010956651,7.85984438381476,20.23443477256655,0.2793296089385475,342.0,-0.8066666666666666,0.45454545454545453,2,False,True,True,v3_sequence_anchored_geo_distance
