event_id,event_date,label_sub_event_type,label_escalated,fatalities,avg_tone,tone_positive_score,tone_negative_score,tone_polarity,tone_activity_density,tone_self_group_density,tone_word_count,goldstein_trend,quad_class_ratio,volume_mention_spike,volume_right_censored,had_gkg_match,had_events_match,matching_method_version
USA6474,2020-06-02,Violent demonstration,1,0,-8.400409399044957,0.6228213963775182,9.023230795422478,9.646052191799992,24.307258801985522,0.3652133190940938,819.32,6.256,0.5625,25,True,True,True,v2_country_theme_filtered+geo_distance_v1
USA18953,2020-11-30,Violent demonstration,1,0,-3.7808644319372395,1.4729505492337278,5.253814981170969,6.726765530404695,19.918422696816066,0.32406468803671085,1216.84,2.564,0.5,25,True,True,True,v2_country_theme_filtered+geo_distance_v1
USA938,2020-06-20,Peaceful protest,0,0,-4.2869979845697,2.268396196872496,6.555394181442194,8.82379037831469,25.10295589691853,0.7458988096791281,1263.2,-1.376,0.4444444444444444,25,True,True,True,v2_country_theme_filtered+geo_distance_v1
USA5572,2020-05-31,Violent demonstration,1,0,-1.7032277220334264,2.459602010015109,4.162829732048534,6.622431742063644,19.697281553113044,0.26085698988047623,649.16,-3.1479999999999997,0.8333333333333334,25,True,True,True,v2_country_theme_filtered+geo_distance_v1
USA4887,2020-05-30,Violent demonstration,1,0,-1.8344379348421078,2.8303230688532413,4.664761003695349,7.4950840725485905,22.7859538651664,0.983300984660103,1362.125,1.1840000000000002,0.7222222222222222,24,True,True,True,v2_country_theme_filtered+geo_distance_v1
USA6471,2020-06-02,Violent demonstration,1,0,-3.9223710688113225,1.8708931225060275,5.793264191317349,7.664157313823376,22.23572222171106,0.769464684943545,3020.36,-3.52,0.4166666666666667,25,True,True,True,v2_country_theme_filtered+geo_distance_v1
USA864,2020-06-15,Peaceful protest,0,0,-5.791839258973114,1.6801367282629232,7.471975987236036,9.152112715498967,23.317733194678663,0.44550426189991993,825.0416666666666,4.133333333333334,0.6666666666666666,24,True,True,True,v2_country_theme_filtered+geo_distance_v1
USA384,2020-06-19,Peaceful protest,0,0,-1.7791094297855015,2.41068381686736,4.18979324665286,6.600477063520219,24.982087098412542,1.5908371720921715,1230.6,-2.460869565217391,0.4444444444444444,5,False,True,True,v2_country_theme_filtered+geo_distance_v1
USA5709,2020-05-31,Violent demonstration,1,0,-5.568542923990484,1.63115687677823,7.199699800768713,8.830856677546947,23.80951514646537,1.7544287330639168,2208.0,-0.1988888888888889,0.5,3,True,True,True,v2_country_theme_filtered+geo_distance_v1
USA452,2020-06-14,Peaceful protest,0,0,-4.439977873007882,2.4122402786374564,6.852218151645336,9.264458430282797,22.989066451281776,0.511563916476961,866.5,1.656,0.375,20,True,True,True,v2_country_theme_filtered+geo_distance_v1
USA793,2020-06-15,Peaceful protest,0,0,-4.122552150446033,1.9802105785925215,6.102762729038553,8.082973307631072,22.83484625850331,0.7488204264541504,1213.68,0.5938735177865612,0.5,25,True,True,True,v2_country_theme_filtered+geo_distance_v1
USA5485,2020-05-31,Violent demonstration,1,0,-4.367969065907795,2.1347128348434006,6.5026819007512,8.637394735594595,22.956382618869956,0.7889868959690609,2659.5454545454545,1.6640000000000001,0.4444444444444444,11,False,True,True,v2_country_theme_filtered+geo_distance_v1
USA6144,2020-06-01,Violent demonstration,1,0,,,,,,,,-2.4,0.3333333333333333,0,False,False,True,v2_country_theme_filtered+geo_distance_v1
USA20408,2020-04-08,Mob violence,1,0,-6.051417579048212,1.771728142416698,7.823145721464905,9.594873863881602,20.719418595575156,0.728517172491707,899.4285714285714,-3.5733333333333333,0.8333333333333334,14,True,True,True,v2_country_theme_filtered+geo_distance_v1
USA6089,2020-06-01,Violent demonstration,1,0,-2.210785930415938,2.5891175580383323,4.799903488454269,7.389021046492603,23.097128129553628,0.893690143036609,1555.1739130434783,-1.3593333333333335,0.5,23,False,True,True,v2_country_theme_filtered+geo_distance_v1
USA427,2020-07-04,Peaceful protest,0,0,-6.1615101956298615,1.9231540540696994,8.084664249699562,10.007818303769254,24.51625804675662,0.3342426674106986,422.68,1.7200000000000004,0.7272727272727273,25,True,True,True,v2_country_theme_filtered+geo_distance_v1
USA4487,2020-08-14,Violent demonstration,1,0,,,,,,,,,,0,False,False,False,v2_country_theme_filtered+geo_distance_v1
USA20422,2020-04-09,Violent demonstration,1,0,-3.378131069171264,2.527375820571404,5.905506889742668,8.432882710314068,24.426445197881296,1.954178942430699,1175.7826086956522,-1.3570512820512821,0.6666666666666666,23,True,True,True,v2_country_theme_filtered+geo_distance_v1
USA949,2020-06-17,Peaceful protest,0,0,-2.708934961515876,2.2152479139745775,4.924182875490452,7.139430789465031,22.3542309884191,0.5003222491351336,1241.72,-0.7520000000000001,0.7333333333333333,25,True,True,True,v2_country_theme_filtered+geo_distance_v1
USA5040,2020-05-30,Violent demonstration,1,0,-1.929726386928024,2.1982945384953596,4.128020925423386,6.326315463918742,22.25828453756926,0.8760380987320083,768.4,-1.855555555555556,0.0,5,False,True,True,v2_country_theme_filtered+geo_distance_v1
USA6021,2020-06-01,Violent demonstration,1,0,,,,,,,,,,0,True,False,False,v2_country_theme_filtered+geo_distance_v1
USA11382,2020-08-26,Violent demonstration,1,0,-4.778053675506383,1.6214023792085603,6.399456054714944,8.020858433923506,23.31840281596706,0.791892271167804,506.4,1.848,0.5454545454545454,25,True,True,True,v2_country_theme_filtered+geo_distance_v1
USA3702,2020-08-01,Mob violence,1,0,-2.11421098517873,2.11421098517873,4.22842197035745,6.34263295553618,22.4062772449869,0.632083696599826,4278.0,,,1,False,True,False,v2_country_theme_filtered+geo_distance_v1
USA823,2020-06-19,Peaceful protest,0,0,-3.6448672688042887,2.0534608475322473,5.698328116336537,7.751788963868783,23.90816846234462,1.201266527894714,3156.6,-0.2250000000000001,0.15789473684210525,25,True,True,True,v2_country_theme_filtered+geo_distance_v1
USA908,2020-06-20,Peaceful protest,0,0,-0.1240088213226767,3.231603585620363,3.355612406943038,6.5872159925634,20.635648938444234,0.6246186685878944,875.5,-1.0461538461538462,0.3333333333333333,6,False,True,True,v2_country_theme_filtered+geo_distance_v1
USA5479,2020-05-31,Violent demonstration,1,0,,,,,,,,,,0,False,False,False,v2_country_theme_filtered+geo_distance_v1
USA219,2020-06-27,Peaceful protest,0,0,-2.285683436857515,1.8680502445831233,4.153733681440637,6.021783926023762,22.346758128536,1.380245094236902,1001.4,0.9923684210526315,0.7333333333333333,15,True,True,True,v2_country_theme_filtered+geo_distance_v1
USA845,2020-06-26,Peaceful protest,0,0,1.3585543969676301,3.059627472302065,1.70107307533444,4.76070054763651,23.06950403632555,0.961033231898351,838.5,,,2,False,True,True,v2_country_theme_filtered+geo_distance_v1
USA892,2020-06-20,Peaceful protest,0,0,-4.54993826852913,2.449037688660988,6.998975957190117,9.448013645851105,21.20375814550911,1.1427834576770746,311.68,0.1608695652173913,0.2,25,True,True,True,v2_country_theme_filtered+geo_distance_v1
USA8468,2020-06-06,Violent demonstration,1,0,,,,,,,,,,0,False,False,False,v2_country_theme_filtered+geo_distance_v1
USA917,2020-06-20,Peaceful protest,0,0,,,,,,,,,,0,False,False,False,v2_country_theme_filtered+geo_distance_v1
USA36,2020-06-14,Peaceful protest,0,0,-3.8581903254257464,2.5111856174633123,6.369375942889059,8.880561560352373,23.172470614294635,1.07225597150185,755.12,-0.6240000000000001,0.38461538461538464,25,True,True,True,v2_country_theme_filtered+geo_distance_v1
USA624,2020-06-18,Peaceful protest,0,0,-2.717270632912033,2.1891497831421565,4.90642041605419,7.095570199196349,23.879560087845622,1.301579258845757,1059.92,-1.7159999999999997,0.2222222222222222,25,True,True,True,v2_country_theme_filtered+geo_distance_v1
USA3247,2020-07-13,Mob violence,1,0,-5.190676797328291,1.836707401522431,7.0273841988507195,8.86409160037315,23.03151403752924,1.2826563106531552,1122.28,0.48799999999999977,0.5714285714285714,25,True,True,True,v2_country_theme_filtered+geo_distance_v1
USA5015,2020-05-30,Violent demonstration,1,0,-0.6268249587574757,2.530826831807523,3.1576517905649992,5.688478622372517,25.14613512560462,1.3585942482173206,1415.84,0.9880000000000001,0.35714285714285715,25,True,True,True,v2_country_theme_filtered+geo_distance_v1
USA986,2020-06-20,Peaceful protest,0,0,-2.163938794998776,2.288046681734966,4.45198547673375,6.740032158468717,25.3378435124323,0.4882843120799758,953.0,1.9958333333333331,0.8,5,False,True,True,v2_country_theme_filtered+geo_distance_v1
USA1004,2020-06-29,Peaceful protest,0,0,,,,,,,,,,0,False,False,False,v2_country_theme_filtered+geo_distance_v1
USA5416,2020-05-31,Violent demonstration,1,0,-5.489342507146665,2.027559483049095,7.51690199019576,9.544461473244855,23.42705514070495,1.7171009010771652,1279.5,1.0,0.5,2,True,True,True,v2_country_theme_filtered+geo_distance_v1
